Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.52256026967279E-16,0,-0.0436133328879271,0,0,0,3.76481769802666,0.172205215622843,1.92309566251228E-16,-3.13743871731719E-16,0.241404753279967,-1.57926584565503E-16,0.285857433738508,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/base_link.STL,,Chassis_diffrential-1,chassis_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LEFT_wheel_drive,-1.3878E-17,2.7756E-17,0.03,0,0,0,0.79338,0.0010792,-7.3437E-21,-1.3335E-19,0.0010792,-1.2153E-20,0.0016824,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/LEFT_wheel_drive.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/LEFT_wheel_drive.STL,,Chassis_diffrential_wheel-1,left_wheel_cs,Drive_wheel,left_wheel_joint,revolute,0.0487177978870813,0.2805,-0.215,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Right_wheel_drive,-2.77555756156289E-17,0,-0.03,0,0,0,0.793377808737566,0.00107919216433527,-7.35016536443285E-21,2.41592243168491E-19,0.00107919216433527,-1.52820060849727E-19,0.00168235764342801,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Right_wheel_drive.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Right_wheel_drive.STL,,Chassis_diffrential_wheel-2,Right_wheel_cs,Drive_wheel,Right_wheel_joint,revolute,0.0487177978870813,-0.2805,-0.215,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LF_caster,0,0,0.01,0,0,0,0.099526,4.3526E-05,-4.8542E-37,3.4974E-21,4.3526E-05,-5.1196E-21,8.0417E-05,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/LF_caster.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/LF_caster.STL,,Chassis_diffrential_caster_wheel-1,LF_caster_cs,Front_caster,LF_caster_jont,revolute,0.252419974626545,0.195,-0.24,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RF_caster,0,0,-0.01,0,0,0,0.0995256552657247,4.35258865695436E-05,-8.57316263664135E-37,6.17717207796422E-21,4.35258865695436E-05,-5.11963289611699E-21,8.04167294547055E-05,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/RF_caster.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/RF_caster.STL,,Chassis_diffrential_caster_wheel-3,RF_caster_cs,Front_caster,RF_caster_joint,revolute,0.252419974626545,-0.195,-0.24,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LR_Caster,-2.7756E-17,0,0.01,0,0,0,0.099526,4.3526E-05,-9.3556E-37,6.7419E-21,4.3526E-05,-5.1196E-21,8.0417E-05,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/LR_Caster.STL,0.50196,0.50196,0.50196,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/LR_Caster.STL,,Chassis_diffrential_caster_wheel-2,LR_caster_cs,Rear_caster,LR_Caster_joint,revolute,-0.252419974626545,0.195,-0.24,1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
RR_caster,-2.77555756156289E-17,0,-0.00999999999999999,0,0,0,0.0995256552657247,4.35258865695436E-05,-5.63667316060229E-37,4.06209371426977E-21,4.35258865695436E-05,-5.119632896117E-21,8.04167294547056E-05,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/RR_caster.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/RR_caster.STL,,Chassis_diffrential_caster_wheel-4,RR_caster_cs,Rear_caster,RR_caster_joint,revolute,-0.252419974626545,-0.195,-0.24,1.5707963267949,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Left_motor,1.38777878078145E-17,0.00387705329392546,-0.0323105676631981,0,0,0,1.93863998383263,0.00202137825709918,-9.46839209309247E-20,-9.1541305594421E-20,0.00188037086841794,-6.84819077857967E-05,0.00105265428779215,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Left_motor.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Left_motor.STL,,MOTOR_Model SG775125000_60K_Assembly-1/DC Geared Motor_Model SG775125000_60K-1;MOTOR_Model SG775125000_60K_Assembly-1/Motor_Model SG775125000_60K_Bracket-1,Left_motor,Drive_wheel,Left_motor_joint,fixed,0.0487177978870813,0.129306995584995,-0.225,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Right_motor,1.3878E-17,0.0038771,0.032311,0,0,0,1.9386,0.0020214,2.4178E-19,-5.8502E-19,0.0018804,6.8482E-05,0.0010527,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Right_motor.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Right_motor.STL,,MOTOR_Model SG775125000_60K_Assembly-2/DC Geared Motor_Model SG775125000_60K-1;MOTOR_Model SG775125000_60K_Assembly-2/Motor_Model SG775125000_60K_Bracket-1,Right_motor,Drive_wheel,Right_motor_joint,fixed,0.0487177978870813,-0.129306995584995,-0.225,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.011792,-0.00036789,-0.035501,0,0,0,0.094104,2.7909E-05,-5.2518E-08,-3.3534E-07,4.4353E-05,2.4873E-08,6.9475E-05,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Lidar.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Chassis_diffrential_assembly_Lidar_low/meshes/Lidar.STL,,Lidar-1,Coordinate System1,,Lidar,fixed,0.32452,0.0005761,-0.097368,0,0,0,base_link,0,0,0,,,,,,,,,,,,
